update,exp_num,ahhh,ahhs,ahhb,ahss,ahbb,ahbs,abhh,abhs,abhb,abss,abbs,abbb,ashh,ashs,ashb,asss,asbb,asbs
4,10,0,0,0,0,0,0,0,214.5,0,74.75,0,0,0,10.75,0,0,0,0
4,11,0,0,0,0,0,0,0,125.75,0,89.5,48.75,0,0,26.5,0,2.5,0,7
4,12,0,0,0,0,0,0,0,150.25,0,75,74.75,0,0,0,0,0,0,0
4,13,0,0,0,0,0,0,0,0.25,0,299.75,0,0,0,0,0,0,0,0
4,14,0,0,0,0,0,0,0,130.75,0,131.75,37.5,0,0,0,0,0,0,0
4,15,0,0,0,0,0,0,0,75,0,149.75,26.25,0,0,0,0,19.25,0,29.75
4,16,0,0,0,0,0,0,0,75.25,0,150,61.5,0,0,0,0,0,0,13.25
4,17,0,0,0,0,0,0,0,75,0,166.75,0,0,0,0,0,58.25,0,0
4,18,0,0,0,0,0,0,0,150,0,56.75,93.25,0,0,0,0,0,0,0
4,19,0,0,0,0,0,0,0,260.75,0,19.75,0,0,0,19.5,0,0,0,0
4,20,0,0,0,0,0,0,0,215.75,0,0.25,74.75,0,0,9.25,0,0,0,0
4,21,0,0,0,0,0,0,0,68.75,0,171.25,44,0,0,0,0,4,0,12
4,22,0,0,0,0,0,0,0,118,0,140,0,0,0,32.25,0,9.75,0,0
4,23,0,0,0,0,0,0,0,0.25,0,241.5,55.75,0,0,0,0,2.5,0,0
4,24,0,0,0,0,0,0,0,190.25,0,78.5,0.25,0,0,31,0,0,0,0
4,25,0,0,0,0,0,0,0,272.25,0,18.75,0,0,0,9,0,0,0,0
4,26,0,0,0,0,0,0,0,225,0,75,0,0,0,0,0,0,0,0
4,27,0,0,0,0,0,0,0,200.75,0,62.75,0,0,0,26,0,10.5,0,0
5,1,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,75,0,0
5,2,0,0,0,0,0,0,0,75,0,150,0,0,0,75,0,0,0,0
5,3,0,0,0,0,0,0,0,75,0,36,105.5,0,0,75,0,2.25,0,6.25
5,4,0,0,0,0,0,0,0,52,0,147,2.25,0,0,27,0,71.75,0,0
5,5,0,0,0,0,0,0,0,122.75,0,75,0,0,0,3,0,99.25,0,0
5,6,0,0,0,0,0,0,0,75,0,145.25,0,0,0,0,0,24,0,55.75
5,7,0,0,0,0,0,0,0,150,0,19,56,0,0,0,0,19.25,0,55.75
5,8,0,0,0,0,0,0,0,75,0,131,0.25,0,0,0,0,38.25,0,55.5
5,9,0,0,0,0,0,0,0,150.5,0,74.5,1.25,0,0,0,0,73.75,0,0
5,10,0,0,0,0,0,0,0,180,0,25.25,0,0,0,94.75,0,0,0,0
5,11,0,0,0,0,0,0,0,75,0,112.5,37.5,0,0,0,0,75,0,0
5,12,0,0,0,0,0,0,0,150,0,46.25,0,0,0,0,0,47.75,0,56
5,13,0,0,0,0,0,0,0,75.25,0,112.25,37.5,0,0,0,0,75,0,0
5,14,0,0,0,0,0,0,0,75.75,0,149.25,0,0,0,75,0,0,0,0
5,15,0,0,0,0,0,0,0,75,0,73,56,0,0,75,0,21,0,0
5,16,0,0,0,0,0,0,0,120.5,0,104.5,0,0,0,75,0,0,0,0
5,17,0,0,0,0,0,0,0,151.25,0,19.25,55.75,0,0,73.75,0,0,0,0
5,18,0,0,0,0,0,0,0,150,0,19,56,0,0,75,0,0,0,0
5,19,0,0,0,0,0,0,0,130,0,75,0,0,0,20,0,75,0,0
5,20,0,0,0,0,0,0,0,214.75,0,10.25,0,0,0,75,0,0,0,0
5,21,0,0,0,0,0,0,0,78.25,0,86,31.5,0,0,71.75,0,8,0,24.5
5,22,0,0,0,0,0,0,0,154,0,71,0,0,0,75,0,0,0,0
5,23,0,0,0,0,0,0,0,150,0,75,0,0,0,75,0,0,0,0
5,24,0,0,0,0,0,0,0,131,0,75,0,0,0,19,0,75,0,0
5,25,0,0,0,0,0,0,0,150,0,75,0,0,0,75,0,0,0,0
5,26,0,0,0,0,0,0,0,150,0,19.25,55.75,0,0,56.25,0,18.75,0,0
5,27,0,0,0,0,0,0,0,0,0,225,0,0,0,75,0,0,0,0
6,1,0,0,0,0,0,0,0,55,0,9,0,0,0,0,0,124.5,0,111.5
6,2,0,0,0,0,0,0,0,131,0,0,0,0,0,38.25,55.75,19.25,0,55.75
6,3,0,0,0,0,0,0,0,0,0,70.5,42,0,0,0.75,1,117,0,68.75
6,4,0,0,0,0,0,0,0,0,0,56.5,15,15,0,1,1,112.25,22.25,77
6,5,0,0,0,0,0,0,0,0,0,19,56,0,0,19.25,55.75,150,0,0
6,6,0,0,0,0,0,0,0,55.75,0,75,0,0,0,95.25,0.75,18.25,0,55
6,7,0,0,0,0,0,0,0,0,0,19.25,55.75,0,0,75,0,150,0,0
6,8,0,0,0,0,0,0,0,0,0,68.25,35.75,0,0,0,0,64.25,55.75,76
6,9,0,0,0,0,0,0,0,0,0,16,46,0,0,0,0,116.25,56,65.75
6,10,0,0,0,0,0,0,0,75,0,0,56,0,0,0,0,94.5,37.25,37.25
6,11,0,0,0,0,0,0,0,1.5,0,73.5,56,0,0,68.5,55.75,44.75,0,0
6,12,0,0,0,0,0,0,0,0.75,0,130,0,0,0,75.75,0,37.75,0,55.75
6,13,0,0,0,0,0,0,0,0,0,19,0,56,0,75,0,94.25,0,55.75
6,14,0,0,0,0,0,0,0,0,0,37.5,92.75,0,0,0,0,150.75,0,19
6,15,0,0,0,0,0,0,0,0,0,19.25,55.75,0,0,0,0,169,0,56
6,16,0,0,0,0,0,0,0,0,0,62.5,19.5,0,0,19.25,55.75,106.5,0,36.5
6,17,0,0,0,0,0,0,0,0,0,0.5,23,23,0,19.25,55.75,94.25,14.25,70
6,18,0,0,0,0,0,0,0,0,0,43,0,0,0,19,56,126,0,56
6,19,0,0,0,0,0,0,0,55.75,0,19.25,55.75,0,0,94.25,0,19.25,0,55.75
6,20,0,0,0,0,0,0,0,56,0,16.75,49.5,0,0,19.25,0,152,0,6.5
6,21,0,0,0,0,0,0,0,19,56,0,0,0,0,150,0,75,0,0
6,22,0,0,0,0,0,0,0,0,0,131,0,0,0,19,56,94,0,0
6,23,0,0,0,0,0,0,0,75.25,0,55.75,0,0,0,19.75,55.75,37.5,0,56
6,24,0,0,0,0,0,0,0,55.75,0,15,42.75,0,0,94.25,0,23.25,0,69
6,25,0,0,0,0,0,0,0,16.75,48.25,0,0,0,0,152.5,7.5,19,0,56
6,26,0,0,0,0,0,0,0,75,0,55.75,0,0,0,19,56,38.25,0,56
6,27,0,0,0,0,0,0,0,0,0,19.25,55.75,0,0,75,0,94,0,56
0,1,73.25,4.75,0,0,0,0,0,75,0,0,0,0,0,72,0,75,0,0
0,2,75,0.5,0,74.25,0,0.25,0,0.5,0,0,74.5,0,0,75,0,0,0,0
0,3,73.75,76.25,0,0,0,0,0,0.5,0,74.5,0,0,0,75,0,0,0,0
0,4,72.75,75.75,0,0,0,0,0,75,0,0,0,0,0,1.5,0,75,0,0
0,5,0,74.25,0,75.75,0,0,0,75,0,0,0,0,0,75,0,0,0,0
0,6,0.25,2.5,72.5,0,0,2.25,0,75,0,0,0,0,0,147.5,0,0,0,0
0,7,0,3,0,147,0,0,0,0,0,75,0,0,0,0,0,75,0,0
0,8,72.5,77.5,0,0,0,0,0,0,0,75,0,0,0,0,0,75,0,0
0,9,75,0,0,74.5,0,0,0,75,0,0,0,0,0,75,0,0.5,0,0
0,10,75,0,0,72,0,3,0,75,0,0,0,0,0,75,0,0,0,0
0,11,0.5,75.75,72.75,0,0,1,0,75,0,0,0,0,0,75,0,0,0,0
0,12,73,5.75,0,0,0,0,0,0.25,0,74.75,0,0,0,71.5,0,74.75,0,0
0,13,75,0,0,1.5,0,0,0,75,0,0,0,0,0,0,0,148.5,0,0
0,14,0,0.5,74.5,74.75,0,0.25,0,75,0,0,0,0,0,3,0,72,0,0
0,15,75,0,0,1.75,0,0,0,0.75,0,0,74.25,0,0,0,0,148.25,0,0
0,16,74,4.25,0,0,0,0,0,75,0,0,0,0,0,71.75,0,0,0,75
0,17,71.5,78,0.25,0,0,0,0,75,0,0,0,0,0,75.25,0,0,0,0
0,18,74.75,3.5,0,0,0,0,0,75,0,0,0,0,0,146.75,0,0,0,0
0,19,72.75,2.75,0,3.5,0,0,0,0,0,75,0,0,0,75,0,71,0,0
0,20,75,75,0,0,0,0,0,75,0,0,0,0,0,75,0,0,0,0
0,21,0.25,0,73.25,2,0,1.5,0,75,0,0,0,0,0,0,0,73,0,75
0,22,32.25,75,42.75,0,0,0,0,75,0,0,0,0,0,0,0,75,0,0
0,23,0,74.75,75,0,0,0,0,75,0,0,0,0,0,75.25,0,0,0,0
0,24,74.75,75.25,0,0,0,0,0,75,0,0,0,0,0,75,0,0,0,0
0,25,75,0,0,75,0,0,0,56.5,0,0,18.5,0,0,0,0,0,0,75
0,26,0,75,75,0,0,0,0,75,0,0,0,0,0,75,0,0,0,0
0,27,73,77,0,0,0,0,0,75,0,0,0,0,0,75,0,0,0,0
1,1,0,75,0,0,0,0,0,75,0,0,0,0,0,75,0,75,0,0
1,2,0,75,0,0,0,0,0,75.5,0,0,0,0,0,74.75,0,74.75,0,0
1,3,0,75,0,0,0,0,0,75,0,0,0,0,0.25,149.75,0,0,0,0
1,4,0,0,0,75,0,0,0,75,0,0,0,0,75,0,0,75,0,0
1,5,0,0,0,75,0,0,0,75,0,0,0,0,75,75,0,0,0,0
1,6,0,0,0,0,0,75,0,75,0,0,0,0,75,0,0,75,0,0
1,7,0,75,0,0,0,0,0,75,0,0,0,0,75,75,0,0,0,0
1,8,0,75,0,0,0,0,0,75,0,0,0,0,75,0,0,75,0,0
1,9,0,75,0,0,0,0,0,75,0,0,0,0,0,150,0,0,0,0
1,10,0,0,0,75,0,0,0,0,0,75,0,0,75,0,0,75,0,0
1,11,0,75,0,0,0,0,0,75,0,0,0,0,75,0,0,74.75,0,0.25
1,12,0,0,0,75,0,0,0,0,0,75,0,0,75,75,0,0,0,0
1,13,0,0,0,0,0,75,0,75,0,0,0,0,0.25,75.75,74,0,0,0
1,14,0,75,0,0,0,0,0,75,0,0,0,0,75,75,0,0,0,0
1,15,0,0.5,0,73.5,0,1,0,75,0,0,0,0,75,0,0,75,0,0
1,16,0,75,0,0,0,0,0,75,0,0,0,0,75,75,0,0,0,0
1,17,0,0,0,75,0,0,0,0,0,75,0,0,0,150,0,0,0,0
1,18,0,0.75,0,74,0,0.25,0,0,0,75,0,0,0.25,66.25,8.75,0,0,74.75
1,19,0,75,0,0,0,0,0,0,0,75,0,0,0,0,75,75,0,0
1,20,0,75,0,0,0,0,0,75,0,0,0,0,75,7.25,0,67.75,0,0
1,21,0,0,0,0,0,75,0,75,0,0,0,0,0,150,0,0,0,0
1,22,0,0,0,75,0,0,0,7.5,0,67.5,0,0,75,75,0,0,0,0
1,23,0,75,0,0,0,0,0,0,0,75,0,0,0,150,0,0,0,0
1,24,0,64.25,0,10.75,0,0,0,75,0,0,0,0,0.25,75,74.75,0,0,0
1,25,0,75,0,0,0,0,0,75,0,0,0,0,75,1,0,0,0,74
1,26,0,0,0,74.75,0,0.25,0,0,0,0,75,0,75,0,0,0,0,75
1,27,0,1.5,0,73.25,0,0.25,0,75,0,0,0,0,75,75,0,0,0,0
